1,2,3,4,5,6,6 Express,7,7 Express,A,B,C,D,E,F,G,J,L,M,N,Q,R,S,Z,x,y,name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74.2509668374,40.5132156281,Main St & Utah St At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74.2454326904,40.5153886757,Tracy Av & Arthur Kill Rd At Nw Corner
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.8765759978,40.748547332,90th St & Roosevelt Ave At Nw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-73.8709730004,40.7333303317,Woodhaven Blvd & Queens Blvd At Sw Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-73.8687329981,40.7332133331,Horace Harding Expwy & Queens Blvd At Ne Corner
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.8623029994,40.7497773335,103rd St & Roosevelt Ave At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-73.8534919997,40.7265953342,67th Ave & Queens Blvd At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,-73.8433819992,40.7214963338,71st & Queens Blvd At Ne Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-73.8313279972,40.7139703339,Union Tpke & Queens Blvd At Se Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-73.8379843967,40.7190235294,75th & Queens Blvd At Nw Corner (To Manhattan And Brooklyn Only)
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-73.8314850004,40.7149283334,Union Tpke & Queens Blvd At Nw Corner
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.8299099985,40.7593903324,Main St & Roosevelt Ave At Se Corner
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.8299619988,40.7597103324,Main St & Roosevelt Ave At Ne Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-73.8201000002,40.7080923325,Van Wyck Blvd & Queens Blvd At Sw Corner (To Jamaica Only)
