geometry,line,name,url,1,2,3,4,5,6,6 Express,7,7 Express,@,A,B,C,D,E,F,G,J,L,M,N,Q,R,S,Z
POINT (-74.00887881856795 40.70679995422604),2-3,47 Pine Street,http://www.mta.info/nyct/service/,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.89623400091776 40.81655333231423),6,1025 Longwood Avenue (To Manhattan Only),http://www.mta.info/nyct/service/,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.9516544032217 40.69002502607883),G,573 Lafayette Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
POINT (-73.97291800122915 40.78089533239274),A-C-B,180 Central Park West,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.92726600010874 40.86575833317052),A,4761 Broadway,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.85601699973276 40.75169833203271),7,39-16 111 Street,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-74.00161700000605 40.71947133251513),4-6-6 Express-J-Z-N-Q-R,418 Broadway,http://www.mta.info/nyct/service/,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True
POINT (-73.96204895809426 40.66085870195634),B-Q-S,462 Flatbush Avenue (Enter From Lincoln Rd),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
POINT (-73.98281500076227 40.76645233247671),1-2-A-C-B-D,956 8 Avenue,http://www.mta.info/nyct/service/,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.91127400072213 40.6831813329831),J-Z,1720 Broadway,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
POINT (-73.96709508186282 40.6833885897999),A-C,856 Fulton Street (To Queens Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.93797900019608 40.7491433321309),E-M-R,42-01 28 Street,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
POINT (-73.91063400075645 40.67805433491974),A-C,2154 Fulton Street,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-74.00409900180482 40.71269933458755),4-5-6-6 Express-J-Z,1 Centre Street,http://www.mta.info/nyct/service/,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
POINT (-73.95059200078252 40.72371533223874),G,626 Manhattan Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
POINT (-73.96014953422331 40.68876323330682),G,344 Classon Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
POINT (-73.94213200063101 40.75406933235433),F,40-33 21 Street,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
POINT (-73.98171700111492 40.76870133250205),1-2-A-C-B-D,1824 Broadway,http://www.mta.info/nyct/service/,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.94908000050052 40.6939793319714),G,602 Marcy Avenue,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
POINT (-73.96763699847089 40.76264133219434),4-5-6-6 Express-N-Q-R,131 East 60 Street,http://www.mta.info/nyct/service/,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
POINT (-73.94750633350763 40.63303461734431),2-5,2137 Nostrand Avenue,http://www.mta.info/nyct/service/,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.97476299895135 40.68067533431888),2-3-4,70 6 Avenue (To Manhattan Only),http://www.mta.info/nyct/service/,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.94792800106947 40.6332513338326),2-5,Nostrand Ave & Flatbush Ave At Nw Corner,http://www.mta.info/nyct/service/,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.94750600040352 40.6328583333864),2-5,Nostrand Ave & Flatbush Ave At Ne Corner,http://www.mta.info/nyct/service/,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.94941600172926 40.65066333377288),2-5,Nostrand Ave & Church Ave At Se Corner (To Manhattan Only),http://www.mta.info/nyct/service/,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.95047399873106 40.66812833457194),2-5,Nostrand Ave & President St At Ne Corner,http://www.mta.info/nyct/service/,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.9503889993228 40.66980433320399),3-4,Nostrand Ave & Eastern Pkwy At Se Corner,http://www.mta.info/nyct/service/,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.94942299954094 40.69543933241479),G,Marcy Ave & Myrtle Ave At Nw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
POINT (-73.93378899753256 40.66902733202899),3-4,Schenectady Ave & Eastern Pkwy At Ne Corner,http://www.mta.info/nyct/service/,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
